subject,group,congruency,result,rt,trial
11,test,incongruent,correct,0.788,1
11,test,incongruent,correct,0.641,2
11,test,congruent,correct,0.459,1
11,test,congruent,correct,0.501,2
11,test,incongruent,correct,0.737,3
11,test,incongruent,correct,0.516,4
11,test,congruent,correct,0.499,3
11,test,congruent,correct,0.504,4
11,test,congruent,correct,0.534,5
11,test,incongruent,correct,0.648,5
11,test,incongruent,incorrect,0.697,6
11,test,congruent,correct,0.455,6
11,test,incongruent,correct,0.601,7
11,test,congruent,correct,0.488,7
11,test,congruent,correct,0.564,8
11,test,incongruent,correct,0.818,8
11,test,congruent,correct,0.516,9
11,test,incongruent,correct,0.547,9
11,test,congruent,correct,0.485,10
11,test,incongruent,correct,0.484,10
11,test,congruent,correct,0.532,11
11,test,congruent,correct,0.502,12
11,test,incongruent,correct,0.648,11
11,test,incongruent,correct,0.628,12
11,test,incongruent,correct,0.558,13
11,test,congruent,correct,0.579,13
11,test,incongruent,incorrect,0.357,14
11,test,congruent,correct,0.323,14
11,test,incongruent,correct,0.618,15
11,test,incongruent,incorrect,0.405,16
11,test,congruent,correct,0.371,15
11,test,congruent,correct,0.564,16
11,test,incongruent,correct,0.573,17
11,test,incongruent,incorrect,0.63,18
11,test,congruent,correct,0.532,17
11,test,congruent,correct,0.465,18
11,test,congruent,correct,0.462,19
11,test,incongruent,correct,0.602,19
11,test,incongruent,correct,0.566,20
11,test,congruent,correct,0.454,20
11,test,congruent,correct,0.601,21
11,test,incongruent,correct,0.84,21
11,test,congruent,correct,0.979,22
11,test,incongruent,incorrect,0.386,22
11,test,congruent,correct,0.58,23
11,test,incongruent,correct,0.682,23
11,test,incongruent,incorrect,0.617,24
11,test,congruent,correct,0.645,24
11,test,congruent,correct,0.62,25
11,test,incongruent,correct,0.701,25
11,test,congruent,correct,0.781,26
11,test,incongruent,correct,0.673,26
11,test,congruent,correct,0.43,27
11,test,congruent,correct,0.423,28
11,test,incongruent,correct,0.892,27
11,test,incongruent,correct,0.56,28
11,test,incongruent,correct,0.553,29
11,test,congruent,correct,0.535,29
11,test,congruent,correct,0.505,30
11,test,incongruent,correct,0.483,30
11,test,incongruent,correct,0.585,31
11,test,congruent,correct,0.434,31
11,test,congruent,correct,0.598,32
11,test,incongruent,correct,0.751,32
11,test,incongruent,correct,0.578,33
11,test,incongruent,correct,0.993,34
11,test,congruent,correct,0.622,33
11,test,congruent,correct,0.612,34
11,test,congruent,correct,0.677,35
11,test,congruent,correct,0.665,36
11,test,incongruent,correct,1.093,35
11,test,incongruent,correct,0.5,36
11,test,congruent,correct,0.477,37
11,test,incongruent,correct,0.496,37
11,test,incongruent,correct,0.669,38
11,test,congruent,correct,0.492,38
11,test,congruent,correct,0.485,39
11,test,incongruent,correct,0.586,39
11,test,congruent,correct,0.552,40
11,test,incongruent,correct,0.511,40
11,test,congruent,correct,0.485,41
11,test,congruent,correct,0.515,42
11,test,incongruent,correct,0.495,41
11,test,incongruent,correct,0.572,42
11,test,incongruent,correct,0.602,43
11,test,incongruent,correct,0.576,44
11,test,congruent,correct,0.603,43
11,test,congruent,correct,0.469,44
11,test,incongruent,incorrect,0.744,45
11,test,congruent,correct,0.493,45
11,test,incongruent,correct,0.62,46
11,test,congruent,correct,0.74,46
11,test,congruent,correct,0.487,47
11,test,incongruent,correct,0.695,47
11,test,congruent,correct,0.619,48
11,test,incongruent,correct,1.347,48
1,test,congruent,correct,0.545,1
1,test,incongruent,correct,1.051,1
1,test,congruent,correct,0.425,2
1,test,incongruent,correct,1.063,2
1,test,congruent,correct,0.531,3
1,test,incongruent,correct,1.093,3
1,test,congruent,correct,0.418,4
1,test,incongruent,correct,0.61,4
1,test,incongruent,correct,0.65,5
1,test,incongruent,correct,0.874,6
1,test,congruent,correct,0.49,5
1,test,congruent,correct,0.407,6
1,test,incongruent,correct,0.551,7
1,test,congruent,correct,0.507,7
1,test,congruent,correct,0.418,8
1,test,incongruent,correct,0.859,8
1,test,congruent,correct,0.52,9
1,test,congruent,correct,0.534,10
1,test,incongruent,correct,0.966,9
1,test,incongruent,correct,0.537,10
1,test,congruent,correct,0.519,11
1,test,congruent,correct,0.578,12
1,test,incongruent,correct,0.868,11
1,test,incongruent,correct,0.792,12
1,test,incongruent,correct,0.862,13
1,test,incongruent,correct,0.733,14
1,test,congruent,correct,0.478,13
1,test,congruent,correct,0.556,14
1,test,congruent,correct,0.553,15
1,test,incongruent,correct,0.703,15
1,test,incongruent,correct,0.789,16
1,test,congruent,correct,0.617,16
1,test,incongruent,correct,0.558,17
1,test,congruent,correct,0.395,17
1,test,incongruent,correct,0.651,18
1,test,congruent,correct,0.627,18
1,test,incongruent,correct,0.921,19
1,test,incongruent,correct,0.638,20
1,test,congruent,correct,0.89,19
1,test,congruent,correct,0.459,20
1,test,incongruent,correct,1.833,21
1,test,incongruent,correct,0.868,22
1,test,congruent,correct,0.564,21
1,test,congruent,correct,0.485,22
1,test,incongruent,correct,0.614,23
1,test,incongruent,correct,0.466,24
1,test,congruent,correct,0.727,23
1,test,congruent,correct,0.464,24
1,test,incongruent,correct,0.997,25
1,test,congruent,correct,0.462,25
1,test,congruent,correct,0.518,26
1,test,incongruent,correct,0.756,26
1,test,congruent,correct,0.506,27
1,test,congruent,correct,0.557,28
1,test,incongruent,correct,0.801,27
1,test,incongruent,timeout,0,28
1,test,congruent,correct,0.589,29
1,test,incongruent,correct,1.481,29
1,test,incongruent,correct,0.834,30
1,test,congruent,correct,0.593,30
1,test,congruent,timeout,0,31
1,test,congruent,correct,0.513,32
1,test,incongruent,correct,0.99,31
1,test,incongruent,correct,1.019,32
1,test,incongruent,correct,0.68,33
1,test,incongruent,correct,0.964,34
1,test,congruent,correct,0.478,33
1,test,congruent,correct,1.116,34
1,test,incongruent,correct,1.476,35
1,test,congruent,correct,0.536,35
1,test,incongruent,timeout,0,36
1,test,congruent,correct,0.603,36
1,test,incongruent,correct,1.365,37
1,test,congruent,correct,0.489,37
1,test,congruent,correct,0.837,38
1,test,incongruent,incorrect,1.344,38
1,test,congruent,correct,0.473,39
1,test,incongruent,correct,1.959,39
1,test,congruent,correct,0.691,40
1,test,incongruent,timeout,0,40
1,test,incongruent,correct,1.292,41
1,test,congruent,correct,1.032,41
1,test,congruent,correct,0.848,42
1,test,incongruent,correct,1.519,42
1,test,incongruent,correct,0.967,43
1,test,incongruent,correct,0.947,44
1,test,congruent,correct,0.953,43
1,test,congruent,correct,1.751,44
1,test,congruent,correct,1.512,45
1,test,congruent,correct,0.45,46
1,test,incongruent,correct,0.916,45
1,test,incongruent,correct,1.093,46
1,test,congruent,correct,1.543,47
1,test,incongruent,correct,1.153,47
1,test,incongruent,correct,1.076,48
1,test,congruent,correct,0.562,48
1,test,congruent,correct,0.939,49
1,test,congruent,correct,0.658,50
1,test,incongruent,correct,1.18,49
1,test,incongruent,correct,0.573,50
1,test,congruent,correct,0.44,51
1,test,incongruent,correct,0.582,51
1,test,incongruent,correct,1.015,52
1,test,congruent,correct,0.76,52
1,test,congruent,correct,0.53,53
1,test,congruent,correct,0.457,54
1,test,incongruent,correct,0.569,53
1,test,incongruent,incorrect,0.527,54
1,test,incongruent,correct,0.933,55
1,test,incongruent,correct,1.039,56
1,test,congruent,correct,0.567,55
1,test,congruent,correct,0.451,56
1,test,congruent,correct,0.45,57
1,test,incongruent,correct,0.599,57
1,test,congruent,correct,0.48,58
1,test,incongruent,correct,0.502,58
1,test,incongruent,correct,1.08,59
1,test,incongruent,correct,0.549,60
1,test,congruent,correct,0.467,59
1,test,congruent,correct,0.476,60
1,test,congruent,correct,0.532,61
1,test,incongruent,correct,0.847,61
1,test,incongruent,correct,0.662,62
1,test,congruent,correct,0.619,62
1,test,congruent,correct,0.464,63
1,test,congruent,correct,0.535,64
1,test,incongruent,correct,0.868,63
1,test,incongruent,correct,0.982,64
1,test,congruent,correct,1.18,65
1,test,incongruent,correct,1.035,65
1,test,congruent,correct,0.55,66
1,test,incongruent,correct,1.001,66
1,test,incongruent,correct,0.582,67
1,test,incongruent,correct,0.632,68
1,test,congruent,correct,0.546,67
1,test,congruent,correct,0.83,68
1,test,incongruent,correct,0.655,69
1,test,incongruent,correct,0.569,70
1,test,congruent,correct,0.619,69
1,test,congruent,correct,0.512,70
1,test,incongruent,correct,0.663,71
1,test,congruent,correct,0.542,71
1,test,congruent,correct,0.518,72
1,test,incongruent,correct,0.905,72
1,test,incongruent,correct,0.841,73
1,test,congruent,correct,0.645,73
1,test,congruent,correct,0.541,74
1,test,incongruent,correct,0.731,74
1,test,congruent,correct,0.54,75
1,test,incongruent,incorrect,0.53,75
1,test,congruent,correct,0.505,76
1,test,incongruent,correct,1.142,76
1,test,incongruent,correct,0.607,77
1,test,incongruent,timeout,0,78
1,test,congruent,correct,0.818,77
1,test,congruent,correct,0.533,78
1,test,congruent,correct,0.762,79
1,test,incongruent,correct,0.616,79
1,test,congruent,correct,0.473,80
